"id","region","year","type","demand_annual","demand_timeseries","bandwidth_type","version","method","source","comment"
96,"DE",2030,"helper_sink_exo_rail_pkm","tra_scalars.exo_rail_pkm","tra_timeseries.exo_rail_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
97,"DE",2030,"helper_sink_exo_rail_short_pkm","tra_scalars.exo_rail_short_pkm","tra_timeseries.exo_rail_short_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
98,"DE",2030,"helper_sink_exo_rail_short_tkm","tra_scalars.exo_rail_short_tkm","tra_timeseries.exo_rail_short_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
99,"DE",2030,"helper_sink_exo_rail_tkm","tra_scalars.exo_rail_tkm","tra_timeseries.exo_rail_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
100,"DE",2030,"helper_sink_exo_rail_long_tkm","tra_scalars.exo_rail_long_tkm","tra_timeseries.exo_rail_long_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
101,"DE",2035,"helper_sink_exo_road_htruck_tkm","tra_scalars.exo_road_htruck_tkm","tra_timeseries.exo_road_htruck_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
102,"DE",2035,"helper_sink_exo_road_car_pkm","tra_scalars.exo_road_car_pkm","tra_timeseries.exo_road_car_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
103,"DE",2035,"helper_sink_exo_road_const_diesel","tra_scalars.exo_road_const_diesel","tra_timeseries.exo_road_const_diesel","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
104,"DE",2035,"helper_sink_exo_road_hcar_pkm","tra_scalars.exo_road_hcar_pkm","tra_timeseries.exo_road_hcar_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
105,"DE",2035,"helper_sink_exo_road_lcar_pkm","tra_scalars.exo_road_lcar_pkm","tra_timeseries.exo_road_lcar_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
106,"DE",2035,"helper_sink_exo_road_bus_short_pkm","tra_scalars.exo_road_bus_short_pkm","tra_timeseries.exo_road_bus_short_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
107,"DE",2035,"helper_sink_exo_road_mcar_pkm","tra_scalars.exo_road_mcar_pkm","tra_timeseries.exo_road_mcar_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
108,"DE",2035,"helper_sink_exo_road_motorc_pkm","tra_scalars.exo_road_motorc_pkm","tra_timeseries.exo_road_motorc_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
109,"DE",2035,"helper_sink_exo_road_mtruck_tkm","tra_scalars.exo_road_mtruck_tkm","tra_timeseries.exo_road_mtruck_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
110,"DE",2035,"helper_sink_exo_road_truck_tkm","tra_scalars.exo_road_truck_tkm","tra_timeseries.exo_road_truck_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
111,"DE",2035,"helper_sink_exo_road_ltruck_tkm","tra_scalars.exo_road_ltruck_tkm","tra_timeseries.exo_road_ltruck_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
112,"DE",2035,"helper_sink_exo_road_bus_pkm","tra_scalars.exo_road_bus_pkm","tra_timeseries.exo_road_bus_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
113,"DE",2035,"helper_sink_exo_water_tkm","tra_scalars.exo_water_tkm","tra_timeseries.exo_water_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
114,"DE",2035,"helper_sink_exo_road_agri_diesel","tra_scalars.exo_road_agri_diesel","tra_timeseries.exo_road_agri_diesel","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
115,"DE",2035,"helper_sink_exo_air_europ_pkm","tra_scalars.exo_air_europ_pkm","tra_timeseries.exo_air_europ_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
116,"DE",2035,"helper_sink_exo_air_inter_pkm","tra_scalars.exo_air_inter_pkm","tra_timeseries.exo_air_inter_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
117,"DE",2035,"helper_sink_exo_air_natio_pkm","tra_scalars.exo_air_natio_pkm","tra_timeseries.exo_air_natio_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
118,"DE",2035,"helper_sink_exo_air_pkm","tra_scalars.exo_air_pkm","tra_timeseries.exo_air_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
119,"DE",2035,"helper_sink_exo_rail_long_pkm","tra_scalars.exo_rail_long_pkm","tra_timeseries.exo_rail_long_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
120,"DE",2035,"helper_sink_exo_road_bus_long_pkm","tra_scalars.exo_road_bus_long_pkm","tra_timeseries.exo_road_bus_long_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
121,"DE",2035,"helper_sink_exo_rail_pkm","tra_scalars.exo_rail_pkm","tra_timeseries.exo_rail_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
122,"DE",2035,"helper_sink_exo_rail_short_pkm","tra_scalars.exo_rail_short_pkm","tra_timeseries.exo_rail_short_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
123,"DE",2035,"helper_sink_exo_rail_short_tkm","tra_scalars.exo_rail_short_tkm","tra_timeseries.exo_rail_short_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
