,2035,2040,2050
17JAN02:00,93,98,61
17JAN03:00,93,98,62
17JAN04:00,96,103,65
17JAN05:00,100,104,65
17JAN06:00,100,104,65
17JAN07:00,100,104,65
17JAN08:00,100,104,62
17JAN09:00,88,63,54
17JAN10:00,65,61,53
17JAN11:00,64,60,52
17JAN12:00,64,60,52
17JAN13:00,64,60,52
17JAN14:00,64,61,53
17JAN15:00,68,63,55
17JAN16:00,68,63,55
17JAN17:00,68,63,55
17JAN18:00,65,61,54
17JAN19:00,64,60,53
17JAN20:00,63,60,52
17JAN21:00,63,60,52
17JAN22:00,60,60,52
17JAN23:00,60,60,52
18JAN00:00,60,60,52
18JAN01:00,60,60,52
18JAN02:00,60,60,52
18JAN03:00,60,60,52
18JAN04:00,60,60,52
18JAN05:00,60,60,52
18JAN06:00,60,60,52
18JAN07:00,60,60,52
18JAN08:00,60,60,52
18JAN09:00,60,60,52
18JAN10:00,60,60,52
18JAN11:00,60,60,52
18JAN12:00,60,60,52
18JAN13:00,60,60,52
18JAN14:00,61,60,52
18JAN15:00,61,60,53
18JAN16:00,61,60,52
18JAN17:00,61,60,52
18JAN18:00,60,60,52
18JAN19:00,60,60,52
18JAN20:00,60,60,52
18JAN21:00,60,60,52
18JAN22:00,60,60,52
18JAN23:00,60,60,52
19JAN00:00,60,60,52
19JAN01:00,60,60,52
19JAN02:00,60,60,52
19JAN03:00,60,60,52
19JAN04:00,60,60,52
19JAN05:00,60,60,52
19JAN06:00,61,60,52
19JAN07:00,62,60,52
19JAN08:00,61,60,52
19JAN09:00,60,60,52
19JAN10:00,60,60,52
19JAN11:00,60,60,52
19JAN12:00,60,60,52
19JAN13:00,60,60,52
19JAN14:00,60,60,52
19JAN15:00,60,60,52
19JAN16:00,60,60,52
19JAN17:00,60,60,52
19JAN18:00,60,60,52
19JAN19:00,60,60,52
19JAN20:00,60,60,52
19JAN21:00,60,60,52
19JAN22:00,60,60,52
19JAN23:00,60,60,52
20JAN00:00,60,60,52
20JAN01:00,60,60,52
20JAN02:00,60,60,52
20JAN03:00,60,60,52
20JAN04:00,60,60,52
20JAN05:00,60,60,52
20JAN06:00,60,60,52
20JAN07:00,60,60,52
20JAN08:00,60,60,52
20JAN09:00,60,60,52
20JAN10:00,60,60,52
20JAN11:00,60,60,52
20JAN12:00,60,60,52
20JAN13:00,60,60,52
20JAN14:00,60,60,52
20JAN15:00,89,92,53
20JAN16:00,91,92,57
20JAN17:00,91,92,57
20JAN18:00,91,92,57
20JAN19:00,91,92,57
20JAN20:00,91,92,57
20JAN21:00,90,92,57
20JAN22:00,89,92,57
20JAN23:00,89,87,55
21JAN00:00,89,81,56
21JAN01:00,89,81,56
21JAN02:00,89,81,57
21JAN03:00,89,81,57
21JAN04:00,89,81,57
21JAN05:00,89,81,57
21JAN06:00,89,87,57
21JAN07:00,91,87,57
21JAN08:00,90,87,57
21JAN09:00,89,80,53
21JAN10:00,87,66,53
21JAN11:00,86,66,53
21JAN12:00,86,66,53
21JAN13:00,87,66,53
21JAN14:00,89,81,55
21JAN15:00,93,89,72
21JAN16:00,93,89,72
21JAN17:00,93,89,72
21JAN18:00,93,89,72
21JAN19:00,93,89,72
21JAN20:00,93,89,72
21JAN21:00,93,89,72
21JAN22:00,91,89,72
21JAN23:00,89,84,70
22JAN00:00,90,89,72
22JAN01:00,89,84,70
22JAN02:00,89,84,70
22JAN03:00,89,84,70
